Unique ID,Interview start time,Interview end time,The device used in the latest access of the survey link,Language of interview,Where would you place yourself on the following scale?,Where would you place yourself on the following scale? (2),"When you are in a group of people, how often are you the center of attention?",How often do you discuss government and politics with others IN PERSON?, Attended a political rally or campaign event: Please indicate if you have done each of the following activities over the past year.,"Contributed money to a candidate running for public office, or to a political or social cause: Please indicate if you have done each of the following activities over the past year.","Displayed a poster, sign, or bumper-sticker, or wore a piece of clothing or a button in support of a political campaign: Please indicate if you have done each of the following activities over the past year."
178592,2021-05-20 14:38:11,2021-05-20 14:47:18,Laptop/PC,English,2.0,3.0,Rarely,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
179513,2021-05-18 11:47:58,2021-05-18 11:55:49,Smartphone,English,3.0,3.0,Sometimes,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
181067,2021-05-18 13:28:40,2021-05-18 13:36:40,Smartphone,English,2.0,3.0,Sometimes,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
181396,2021-05-25 09:12:34,2021-05-25 11:36:42,Laptop/PC,English,4.0,Accepting of others,Sometimes,Nearly every day,"No, I have not done this in the past year","No, I have not done this in the past year","Yes, I have done this in the past year"
181690,2021-05-25 14:13:25,2021-05-25 14:36:21,Laptop/PC,English,2.0,2.0,Sometimes,A few times a week,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
182804,2021-05-18 13:34:03,2021-05-19 09:37:30,Smartphone,English,4.0,4.0,Sometimes,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
185293,2021-05-21 15:22:12,2021-05-21 15:47:14,Laptop/PC,English,3.0,3.0,Sometimes,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
186902,2021-05-18 17:26:56,2021-05-18 17:38:43,Smartphone,English,4.0,2.0,Sometimes,Nearly every day,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
187635,2021-05-18 14:03:54,2021-05-18 14:11:48,Smartphone,English,2.0,4.0,Rarely,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
188245,2021-05-18 15:19:56,2021-05-18 15:38:57,Laptop/PC,English,3.0,4.0,Sometimes,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
189213,2021-05-18 23:00:34,2021-05-18 23:13:11,Laptop/PC,English,2.0,4.0,Sometimes,Nearly every day,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
191063,2021-05-18 13:59:39,2021-05-18 14:06:30,Smartphone,English,Introverted,3.0,Never,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","Yes, I have done this in the past year"
191081,2021-05-18 13:07:51,2021-05-18 13:53:18,Laptop/PC,English,2.0,3.0,Sometimes,A few times a week,"No, I have not done this in the past year","No, I have not done this in the past year","Yes, I have done this in the past year"
191261,2021-05-18 13:40:07,2021-05-18 13:58:36,Laptop/PC,English,4.0,3.0,Sometimes,A few times a week,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
194284,2021-05-18 13:15:36,2021-05-18 13:30:06,Laptop/PC,English,4.0,3.0,Sometimes,A few times a week,"No, I have not done this in the past year","No, I have not done this in the past year","Yes, I have done this in the past year"
195373,2021-05-18 17:08:25,2021-05-18 19:08:09,Smartphone,English,2.0,3.0,Rarely,A few times a week,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
197992,2021-05-18 21:05:34,2021-05-18 21:13:19,Laptop/PC,English,3.0,4.0,Sometimes,A few times a week,"Yes, I have done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
198176,2021-05-18 13:40:26,2021-05-18 14:27:15,Smartphone,English,4.0,Accepting of others,Sometimes,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
198449,2021-05-18 15:19:32,2021-05-18 15:28:01,Laptop/PC,English,4.0,4.0,Rarely,Nearly every day,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
200943,2021-05-18 13:33:46,2021-05-18 13:44:38,Smartphone,English,Extroverted,4.0,Sometimes,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
203133,2021-05-18 15:10:58,2021-05-18 15:32:26,Smartphone,English,Introverted,Critical of others,Rarely,Less often,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
204354,2021-05-18 13:52:42,2021-05-18 14:03:31,Laptop/PC,English,Extroverted,4.0,Rarely,A few times a month,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
212322,2021-05-18 17:10:41,2021-05-18 17:17:22,Laptop/PC,English,3.0,3.0,Sometimes,A few times a month,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
213161,2021-05-19 22:15:39,2021-05-19 22:28:15,Smartphone,English,Extroverted,Accepting of others,Rarely,A few times a week,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
213817,2021-05-18 14:54:33,2021-05-19 19:35:43,Tablet,English,3.0,3.0,Sometimes,A few times a week,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
217659,2021-05-18 13:14:42,2021-05-18 13:24:47,Smartphone,English,2.0,Accepting of others,Sometimes,A few times a month,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
219998,2021-05-20 10:17:30,2021-05-20 10:27:43,Laptop/PC,English,4.0,4.0,Sometimes,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
222354,2021-05-19 11:06:24,2021-05-19 11:14:47,Smartphone,English,2.0,4.0,Rarely,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
222755,2021-05-19 15:27:42,2021-05-19 22:24:17,Smartphone,English,Introverted,Accepting of others,Sometimes,A few times a week,"Yes, I have done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
229423,2021-05-24 12:30:24,2021-05-24 12:35:57,Laptop/PC,English,2.0,4.0,Rarely,A few times a month,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
230027,2021-05-20 11:38:37,2021-05-20 11:49:34,Smartphone,English,Introverted,Accepting of others,Sometimes,A few times a week,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
234064,2021-05-18 14:48:58,2021-05-18 14:55:56,Laptop/PC,English,Extroverted,4.0,Sometimes,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
235880,2021-05-23 18:26:10,2021-05-23 18:38:21,Smartphone,English,3.0,4.0,Sometimes,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
236140,2021-05-18 22:03:36,2021-05-18 22:09:23,Laptop/PC,English,3.0,Accepting of others,Rarely,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
236237,2021-05-18 13:27:09,2021-05-18 13:41:06,Laptop/PC,English,2.0,3.0,Sometimes,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","Yes, I have done this in the past year"
238030,2021-05-17 17:35:22,2021-05-17 17:43:58,Smartphone,English,Introverted,4.0,Rarely,A few times a month,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
238140,2021-05-18 13:42:22,2021-05-18 13:53:19,Laptop/PC,English,Introverted,Critical of others,Often,A few times a month,"Yes, I have done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
239985,2021-05-18 14:04:43,2021-05-18 14:12:21,Laptop/PC,English,4.0,3.0,Often,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
240597,2021-05-18 22:03:17,2021-05-18 22:09:22,Smartphone,English,Extroverted,3.0,Sometimes,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
240975,2021-05-18 14:50:17,2021-05-18 14:58:06,Laptop/PC,English,4.0,Accepting of others,Sometimes,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
243528,2021-05-19 14:39:36,2021-05-21 11:17:13,Smartphone,English,2.0,Accepting of others,Sometimes,A few times a week,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
249540,2021-05-18 19:18:15,2021-05-18 19:37:27,Smartphone,English,4.0,3.0,Rarely,A few times a week,"Yes, I have done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
